,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,CONSENSUS0,CONSENSUS1,CONSENSUS49,CONSENSUS56,CONSENSUS57,CONSENSUS50,CONSENSUS53,CONSENSUS54,CONSENSUS55,CONSENSUS51,CONSENSUS52,CONSENSUS2,CONSENSUS33,CONSENSUS38,CONSENSUS45,CONSENSUS46,CONSENSUS47,CONSENSUS48,CONSENSUS39,CONSENSUS41,CONSENSUS43,CONSENSUS44,CONSENSUS42,CONSENSUS40,CONSENSUS34,CONSENSUS35,CONSENSUS36,CONSENSUS37,CONSENSUS3,CONSENSUS19,CONSENSUS22,CONSENSUS29,CONSENSUS31,CONSENSUS32,CONSENSUS30,CONSENSUS23,CONSENSUS27,CONSENSUS28,CONSENSUS24,CONSENSUS25,CONSENSUS26,CONSENSUS20,CONSENSUS21,CONSENSUS4,CONSENSUS7,CONSENSUS11,CONSENSUS15,CONSENSUS16,CONSENSUS17,CONSENSUS18,CONSENSUS12,CONSENSUS13,CONSENSUS14,CONSENSUS8,CONSENSUS9,CONSENSUS10,CONSENSUS5,CONSENSUS6
14,14,,FJ621584,FJ621584v1.FJ621584v1,Reston08-C_2008,Reston 1989-90,21,0.6126,0.6126,0.6126,0.6126,0.6010,0.6107,0.6107,0.6094,0.6092,0.6116,0.6100,0.5813,0.5583,0.5586,0.5586,0.5585,0.5586,0.5586,0.5581,0.5582,0.5582,0.5581,0.5565,0.5575,0.5589,0.5589,0.5594,0.5590,0.8616,0.8596,0.8588,0.8588,0.8588,0.8588,0.8555,0.8492,0.8492,0.8500,0.8480,0.8480,0.8444,0.8275,1.0000,0.5603,0.5602,0.5602,0.5602,0.5600,0.5604,0.5596,0.5598,0.5598,0.5598,0.5491,0.5491,0.5491,0.3391,0.3290
15,15,,FJ621585,FJ621585v1.FJ621585v1,Reston08-E_2008,Reston 1989-90,20,0.6123,0.6123,0.6123,0.6123,0.6036,0.6114,0.6114,0.6103,0.6108,0.6118,0.6100,0.5828,0.5582,0.5584,0.5584,0.5583,0.5584,0.5583,0.5567,0.5568,0.5568,0.5567,0.5553,0.5560,0.5579,0.5579,0.5578,0.5594,0.8749,0.8737,0.8631,0.8631,0.8631,0.8631,0.8613,0.8834,0.8834,0.8840,0.8592,0.8592,0.8556,1.0000,0.8292,0.5599,0.5598,0.5598,0.5599,0.5596,0.5602,0.5596,0.5585,0.5585,0.5585,0.5511,0.5511,0.5511,0.3412,0.3302
16,16,,FJ968794,FJ968794v1.FJ968794v1,Boniface_1976,Sudan 1976-9,37,0.6363,0.6364,0.6364,0.6364,0.6202,0.6319,0.6319,0.6317,0.6312,0.6321,0.6316,0.8783,0.8748,0.8748,0.8748,0.8747,0.8746,0.8746,0.8751,0.8751,0.8751,0.8751,0.8729,0.8553,0.9534,0.9534,0.9516,1.0000,0.5768,0.5750,0.5755,0.5755,0.5755,0.5755,0.5735,0.5744,0.5744,0.5745,0.5761,0.5761,0.5764,0.5571,0.5579,0.5734,0.5726,0.5726,0.5726,0.5725,0.5730,0.5721,0.5735,0.5735,0.5734,0.5644,0.5644,0.5644,0.3507,0.3422
17,17,,HQ613402,HQ613402v1.HQ613402v1,034-KS_2008,DRC 2007,51,0.9710,0.9709,0.9709,0.9709,0.9535,0.9806,0.9806,0.9753,0.9780,0.9995,0.9780,0.6336,0.6301,0.6303,0.6303,0.6302,0.6303,0.6303,0.6281,0.6283,0.6283,0.6281,0.6254,0.6232,0.6277,0.6277,0.6282,0.6282,0.6323,0.6296,0.6293,0.6293,0.6293,0.6293,0.6293,0.6325,0.6325,0.6328,0.6324,0.6324,0.6336,0.6107,0.6101,0.6567,0.6558,0.6558,0.6557,0.6556,0.6562,0.6548,0.6569,0.6569,0.6569,0.6445,0.6445,0.6445,0.3994,0.3806
18,18,,HQ613403,HQ613403v1.HQ613403v1,M-M_2007,DRC 2007,51,0.9715,0.9714,0.9714,0.9714,0.9523,0.9811,0.9811,0.9759,0.9785,0.9999,0.9785,0.6341,0.6306,0.6307,0.6307,0.6307,0.6307,0.6307,0.6285,0.6287,0.6287,0.6285,0.6259,0.6237,0.6281,0.6281,0.6286,0.6286,0.6326,0.6299,0.6296,0.6296,0.6296,0.6296,0.6296,0.6328,0.6328,0.6331,0.6328,0.6328,0.6340,0.6110,0.6103,0.6574,0.6565,0.6565,0.6564,0.6562,0.6569,0.6554,0.6576,0.6576,0.6576,0.6451,0.6451,0.6451,0.3988,0.3803
19,19,,JN638998,JN638998v1.JN638998v1,Nakisamata_2011,Sudan 1976-9,42,0.6330,0.6330,0.6330,0.6330,0.6173,0.6296,0.6296,0.6292,0.6290,0.6296,0.6285,0.9420,0.9600,0.9600,0.9600,0.9599,0.9599,0.9599,0.9643,0.9641,0.9641,0.9643,1.0000,0.9401,0.8578,0.8578,0.8575,0.8729,0.5722,0.5702,0.5706,0.5706,0.5706,0.5706,0.5696,0.5700,0.5700,0.5705,0.5721,0.5721,0.5729,0.5530,0.5553,0.5696,0.5689,0.5689,0.5689,0.5688,0.5688,0.5688,0.5709,0.5709,0.5708,0.5599,0.5599,0.5599,0.3512,0.3418
20,20,,JQ352763,JQ352763v1.JQ352763v1,Kikwit_1995,DRC 2007,55,0.9683,0.9683,0.9683,0.9683,0.9445,0.9880,0.9880,0.9899,1.0000,0.9784,0.9754,0.6338,0.6307,0.6309,0.6309,0.6309,0.6309,0.6309,0.6289,0.6291,0.6291,0.6289,0.6267,0.6244,0.6281,0.6281,0.6287,0.6289,0.6321,0.6296,0.6293,0.6293,0.6293,0.6293,0.6290,0.6321,0.6321,0.6325,0.6315,0.6315,0.6327,0.6060,0.6057,0.6565,0.6556,0.6556,0.6555,0.6554,0.6559,0.6543,0.6568,0.6568,0.6567,0.6458,0.6458,0.6458,0.3944,0.3768
21,21,,JX477165,JX477165v1.JX477165v1,Reston09-A_2009,Reston 1989-90,26,0.6378,0.6378,0.6378,0.6378,0.6225,0.6364,0.6364,0.6347,0.6346,0.6367,0.6348,0.6015,0.5751,0.5752,0.5752,0.5752,0.5752,0.5752,0.5748,0.5749,0.5749,0.5748,0.5726,0.5725,0.5758,0.5758,0.5757,0.5761,0.9287,0.9257,0.9040,0.9040,0.9040,0.9040,0.8862,0.9121,0.9121,0.9134,0.9754,0.9754,1.0000,0.8515,0.8422,0.5767,0.5761,0.5761,0.5762,0.5759,0.5764,0.5757,0.5756,0.5756,0.5755,0.5650,0.5650,0.5650,0.3516,0.3420
22,22,,JX477166,JX477166v1.JX477166v1,Alice_TX_USA_MkCQ8167_1996,Reston 1989-90,28,0.6369,0.6369,0.6369,0.6369,0.6214,0.6361,0.6361,0.6344,0.6343,0.6360,0.6348,0.5994,0.5716,0.5718,0.5718,0.5718,0.5718,0.5718,0.5719,0.5720,0.5720,0.5719,0.5701,0.5700,0.5734,0.5734,0.5730,0.5740,0.9464,0.9395,0.9156,0.9156,0.9156,0.9156,0.8989,0.9790,0.9790,1.0000,0.9157,0.9157,0.9132,0.8795,0.8475,0.5767,0.5762,0.5762,0.5763,0.5760,0.5764,0.5758,0.5755,0.5755,0.5755,0.5666,0.5666,0.5666,0.3515,0.3416
23,23,,KC242783,KC242783v2.KC242783v2,Maleo_1979,Sudan 1976-9,35,0.6359,0.6360,0.6360,0.6360,0.6197,0.6312,0.6312,0.6311,0.6304,0.6315,0.6312,0.8630,0.8588,0.8588,0.8588,0.8588,0.8587,0.8587,0.8597,0.8597,0.8597,0.8597,0.8578,0.8424,1.0000,1.0000,0.9723,0.9534,0.5754,0.5737,0.5741,0.5741,0.5741,0.5741,0.5722,0.5737,0.5737,0.5739,0.5754,0.5754,0.5762,0.5555,0.5577,0.5728,0.5720,0.5720,0.5720,0.5719,0.5724,0.5717,0.5737,0.5737,0.5737,0.5651,0.5651,0.5651,0.3507,0.3424
24,24,,KC242784,KC242784v1.KC242784v1,Luebo9_2007,DRC 2007,51,0.9713,0.9713,0.9713,0.9713,0.9465,0.9810,0.9810,0.9757,0.9774,0.9997,0.9783,0.6347,0.6314,0.6316,0.6316,0.6316,0.6316,0.6316,0.6294,0.6295,0.6295,0.6294,0.6269,0.6246,0.6288,0.6288,0.6293,0.6294,0.6330,0.6303,0.6301,0.6301,0.6301,0.6301,0.6301,0.6331,0.6331,0.6337,0.6329,0.6329,0.6342,0.6065,0.6076,0.6573,0.6564,0.6564,0.6563,0.6562,0.6568,0.6554,0.6576,0.6576,0.6575,0.6454,0.6454,0.6454,0.3956,0.3772
25,25,,KC242785,KC242785v1.KC242785v1,Luebo0_2007,DRC 2007,51,0.9713,0.9713,0.9713,0.9713,0.9466,0.9810,0.9810,0.9757,0.9774,0.9997,0.9783,0.6346,0.6314,0.6316,0.6316,0.6315,0.6316,0.6316,0.6293,0.6295,0.6295,0.6293,0.6268,0.6246,0.6288,0.6288,0.6293,0.6294,0.6330,0.6303,0.6301,0.6301,0.6301,0.6301,0.6301,0.6331,0.6331,0.6336,0.6330,0.6330,0.6342,0.6065,0.6076,0.6572,0.6563,0.6563,0.6562,0.6561,0.6568,0.6553,0.6576,0.6576,0.6575,0.6454,0.6454,0.6454,0.3957,0.3771
26,26,,KC242786,KC242786v1.KC242786v1,Luebo1_2007,DRC 2007,51,0.9715,0.9715,0.9715,0.9715,0.9467,0.9812,0.9812,0.9759,0.9776,0.9998,0.9785,0.6346,0.6313,0.6315,0.6315,0.6314,0.6315,0.6315,0.6293,0.6294,0.6294,0.6293,0.6268,0.6245,0.6287,0.6287,0.6292,0.6293,0.6330,0.6303,0.6301,0.6301,0.6301,0.6301,0.6302,0.6331,0.6331,0.6337,0.6330,0.6330,0.6343,0.6066,0.6077,0.6573,0.6564,0.6564,0.6563,0.6562,0.6568,0.6554,0.6576,0.6576,0.6575,0.6454,0.6454,0.6454,0.3957,0.3773
27,27,,KC242787,KC242787v1.KC242787v1,Luebo23_2007,DRC 2007,51,0.9715,0.9714,0.9714,0.9714,0.9467,0.9811,0.9811,0.9759,0.9776,0.9999,0.9785,0.6346,0.6313,0.6315,0.6315,0.6314,0.6315,0.6315,0.6293,0.6294,0.6294,0.6293,0.6268,0.6245,0.6287,0.6287,0.6292,0.6293,0.6331,0.6304,0.6302,0.6302,0.6302,0.6302,0.6302,0.6332,0.6332,0.6337,0.6331,0.6331,0.6343,0.6066,0.6077,0.6573,0.6565,0.6565,0.6563,0.6562,0.6569,0.6554,0.6577,0.6577,0.6576,0.6455,0.6455,0.6455,0.3957,0.3773
28,28,,KC242788,KC242788v1.KC242788v1,Luebo43_2007,DRC 2007,51,0.9710,0.9710,0.9710,0.9710,0.9463,0.9807,0.9807,0.9756,0.9772,0.9994,0.9781,0.6342,0.6310,0.6312,0.6312,0.6311,0.6312,0.6312,0.6290,0.6291,0.6291,0.6290,0.6264,0.6242,0.6284,0.6284,0.6289,0.6290,0.6330,0.6303,0.6299,0.6299,0.6299,0.6299,0.6299,0.6331,0.6331,0.6336,0.6330,0.6330,0.6342,0.6063,0.6077,0.6572,0.6563,0.6563,0.6562,0.6561,0.6567,0.6555,0.6577,0.6577,0.6576,0.6454,0.6454,0.6454,0.3957,0.3772
29,29,,KC242789,KC242789v1.KC242789v1,Luebo4_2007,DRC 2007,51,0.9714,0.9713,0.9713,0.9713,0.9466,0.9810,0.9810,0.9758,0.9775,0.9997,0.9784,0.6346,0.6313,0.6315,0.6315,0.6314,0.6315,0.6315,0.6293,0.6294,0.6294,0.6293,0.6268,0.6245,0.6286,0.6286,0.6291,0.6292,0.6331,0.6304,0.6302,0.6302,0.6302,0.6302,0.6302,0.6332,0.6332,0.6338,0.6331,0.6331,0.6344,0.6066,0.6077,0.6572,0.6563,0.6563,0.6562,0.6561,0.6567,0.6553,0.6575,0.6575,0.6574,0.6455,0.6455,0.6455,0.3958,0.3771
30,30,,KC242790,KC242790v1.KC242790v1,Luebo5_2007,DRC 2007,51,0.9713,0.9712,0.9712,0.9712,0.9465,0.9809,0.9809,0.9757,0.9775,0.9996,0.9783,0.6344,0.6312,0.6313,0.6313,0.6313,0.6313,0.6313,0.6291,0.6293,0.6293,0.6291,0.6266,0.6244,0.6288,0.6288,0.6292,0.6293,0.6330,0.6303,0.6301,0.6301,0.6301,0.6301,0.6301,0.6331,0.6331,0.6336,0.6330,0.6330,0.6342,0.6065,0.6077,0.6572,0.6563,0.6563,0.6562,0.6561,0.6567,0.6553,0.6575,0.6575,0.6574,0.6454,0.6454,0.6454,0.3957,0.3773
31,31,,KC242791,KC242791v1.KC242791v1,Bonduni_1977,Zaire(DRC) 1976-7,53,0.9704,0.9703,0.9703,0.9703,0.9456,0.9998,0.9998,0.9857,0.9872,0.9811,0.9781,0.6343,0.6309,0.6311,0.6311,0.6312,0.6311,0.6311,0.6289,0.6291,0.6291,0.6289,0.6268,0.6242,0.6284,0.6284,0.6295,0.6292,0.6333,0.6308,0.6304,0.6304,0.6304,0.6304,0.6305,0.6332,0.6332,0.6338,0.6328,0.6328,0.6340,0.6062,0.6068,0.6566,0.6557,0.6557,0.6556,0.6555,0.6559,0.6544,0.6568,0.6568,0.6567,0.6454,0.6454,0.6454,0.3947,0.3770
32,32,,KC242792,KC242792v1.KC242792v1,Gabon_1994,DRC 2007,54,0.9661,0.9661,0.9661,0.9661,0.9417,0.9860,0.9860,0.9980,0.9894,0.9762,0.9734,0.6336,0.6304,0.6305,0.6305,0.6306,0.6305,0.6305,0.6287,0.6288,0.6288,0.6287,0.6265,0.6239,0.6281,0.6281,0.6286,0.6288,0.6320,0.6296,0.6290,0.6290,0.6290,0.6290,0.6286,0.6317,0.6317,0.6323,0.6313,0.6313,0.6324,0.6050,0.6055,0.6562,0.6552,0.6552,0.6551,0.6550,0.6555,0.6536,0.6557,0.6557,0.6556,0.6447,0.6447,0.6447,0.3938,0.3757
33,33,,KC242793,KC242793v1.KC242793v1,1Eko_1996,DRC 2007,54,0.9659,0.9659,0.9659,0.9659,0.9413,0.9858,0.9858,1.0000,0.9891,0.9759,0.9731,0.6337,0.6305,0.6307,0.6307,0.6307,0.6307,0.6307,0.6287,0.6289,0.6289,0.6287,0.6265,0.6241,0.6283,0.6283,0.6288,0.6290,0.6321,0.6296,0.6290,0.6290,0.6290,0.6290,0.6287,0.6316,0.6316,0.6322,0.6312,0.6312,0.6323,0.6051,0.6054,0.6562,0.6553,0.6553,0.6552,0.6551,0.6556,0.6537,0.6557,0.6557,0.6556,0.6445,0.6445,0.6445,0.3938,0.3755
34,34,,KC242794,KC242794v1.KC242794v1,2Nza_1996,DRC 2007,54,0.9655,0.9655,0.9655,0.9655,0.9409,0.9853,0.9853,0.9959,0.9887,0.9754,0.9727,0.6331,0.6299,0.6300,0.6300,0.6301,0.6300,0.6300,0.6281,0.6283,0.6283,0.6281,0.6259,0.6233,0.6280,0.6280,0.6285,0.6288,0.6316,0.6291,0.6286,0.6286,0.6286,0.6286,0.6280,0.6314,0.6314,0.6320,0.6308,0.6308,0.6319,0.6046,0.6053,0.6559,0.6549,0.6549,0.6548,0.6547,0.6552,0.6533,0.6557,0.6557,0.6556,0.6444,0.6444,0.6444,0.3937,0.3757
35,35,,KC242795,KC242795v1.KC242795v1,1Mbie_Gabon_1996,DRC 2007,54,0.9659,0.9659,0.9659,0.9659,0.9413,0.9858,0.9858,0.9999,0.9891,0.9759,0.9731,0.6337,0.6305,0.6307,0.6307,0.6307,0.6307,0.6307,0.6287,0.6289,0.6289,0.6287,0.6265,0.6241,0.6283,0.6283,0.6288,0.6290,0.6321,0.6296,0.6290,0.6290,0.6290,0.6290,0.6287,0.6316,0.6316,0.6322,0.6312,0.6312,0.6323,0.6051,0.6054,0.6562,0.6553,0.6553,0.6552,0.6551,0.6556,0.6537,0.6557,0.6557,0.6556,0.6445,0.6445,0.6445,0.3938,0.3755
36,36,,KC242796,KC242796v1.KC242796v1,13625Kikwit_1995,DRC 2007,55,0.9686,0.9685,0.9685,0.9685,0.9438,0.9882,0.9882,0.9901,0.9985,0.9786,0.9756,0.6342,0.6310,0.6312,0.6312,0.6313,0.6312,0.6312,0.6293,0.6294,0.6294,0.6293,0.6270,0.6247,0.6286,0.6286,0.6291,0.6293,0.6326,0.6301,0.6297,0.6297,0.6297,0.6297,0.6295,0.6325,0.6325,0.6331,0.6321,0.6321,0.6332,0.6056,0.6060,0.6570,0.6561,0.6561,0.6560,0.6559,0.6564,0.6548,0.6574,0.6574,0.6573,0.6462,0.6462,0.6462,0.3941,0.3767
37,37,,KC242797,KC242797v1.KC242797v1,1Oba_Gabon_1996,DRC 2007,54,0.9659,0.9659,0.9659,0.9659,0.9413,0.9858,0.9858,0.9999,0.9891,0.9759,0.9731,0.6337,0.6305,0.6307,0.6307,0.6307,0.6307,0.6307,0.6287,0.6289,0.6289,0.6287,0.6265,0.6241,0.6283,0.6283,0.6288,0.6290,0.6321,0.6296,0.6290,0.6290,0.6290,0.6290,0.6287,0.6316,0.6316,0.6322,0.6312,0.6312,0.6323,0.6051,0.6054,0.6562,0.6553,0.6553,0.6552,0.6551,0.6556,0.6537,0.6557,0.6557,0.6556,0.6445,0.6445,0.6445,0.3938,0.3755
