,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_0,C_1,C_30,C_31,C_32,C_33,C_34,C_2,C_21,C_26,C_27,C_28,C_29,C_22,C_23,C_24,C_25,C_3,C_12,C_19,C_20,C_13,C_14,C_17,C_18,C_15,C_16,C_4,C_8,C_10,C_11,C_9,C_5,C_6,C_7
14,14,,FJ621584,FJ621584v1.FJ621584v1,Reston08-C_2008,Reston 1989-90,16,0.6525,0.6525,0.6525,0.6505,0.6515,0.6491,0.6497,0.5949,0.5949,0.5949,0.5945,0.5939,0.5927,0.5953,0.5953,0.5955,0.5958,0.9151,0.9147,0.9147,0.9112,0.9045,0.9032,0.9032,0.8995,0.8814,1.0000,0.5966,0.5966,0.5967,0.5960,0.5963,0.5848,0.3504,0.3612
15,15,,FJ621585,FJ621585v1.FJ621585v1,Reston08-E_2008,Reston 1989-90,15,0.6510,0.6510,0.6510,0.6500,0.6505,0.6489,0.6485,0.5937,0.5937,0.5937,0.5920,0.5912,0.5905,0.5932,0.5932,0.5948,0.5931,0.9337,0.9176,0.9176,0.9158,0.9393,0.9136,0.9136,0.9097,1.0000,0.8817,0.5952,0.5952,0.5953,0.5950,0.5938,0.5860,0.3511,0.3628
16,16,,FJ968794,FJ968794v1.FJ968794v1,Boniface_1976,Sudan 1976-9,24,0.6412,0.6413,0.6413,0.6368,0.6370,0.6366,0.6365,0.8815,0.8815,0.8815,0.8818,0.8618,0.8796,0.9608,0.9608,1.0000,0.9589,0.5799,0.5799,0.5799,0.5779,0.5788,0.5805,0.5805,0.5809,0.5614,0.5622,0.5770,0.5770,0.5770,0.5765,0.5779,0.5687,0.3448,0.3534
17,17,,HQ613402,HQ613402v1.HQ613402v1,034-KS_2008,DRC 2007,32,0.9710,0.9709,0.9709,0.9806,0.9995,0.9753,0.9780,0.6303,0.6303,0.6303,0.6283,0.6232,0.6254,0.6277,0.6277,0.6282,0.6282,0.6299,0.6293,0.6293,0.6293,0.6325,0.6324,0.6324,0.6336,0.6107,0.6101,0.6558,0.6558,0.6557,0.6548,0.6569,0.6445,0.3806,0.3994
18,18,,HQ613403,HQ613403v1.HQ613403v1,M-M_2007,DRC 2007,32,0.9715,0.9714,0.9714,0.9811,0.9999,0.9759,0.9785,0.6307,0.6307,0.6307,0.6287,0.6237,0.6259,0.6281,0.6281,0.6286,0.6286,0.6301,0.6296,0.6296,0.6296,0.6328,0.6328,0.6328,0.6340,0.6110,0.6103,0.6565,0.6565,0.6564,0.6554,0.6576,0.6451,0.3803,0.3988
19,19,,JN638998,JN638998v1.JN638998v1,Nakisamata_2011,Sudan 1976-9,29,0.6428,0.6428,0.6428,0.6393,0.6393,0.6390,0.6382,0.9749,0.9749,0.9749,0.9790,0.9546,1.0000,0.8711,0.8711,0.8864,0.8708,0.5793,0.5794,0.5794,0.5784,0.5788,0.5810,0.5810,0.5818,0.5616,0.5639,0.5777,0.5777,0.5777,0.5776,0.5797,0.5686,0.3471,0.3566
20,20,,JQ352763,JQ352763v1.JQ352763v1,Kikwit_1995,DRC 2007,33,0.9685,0.9685,0.9685,0.9882,0.9786,0.9901,0.9756,0.6310,0.6310,0.6310,0.6292,0.6245,0.6268,0.6282,0.6282,0.6290,0.6289,0.6299,0.6294,0.6294,0.6291,0.6322,0.6317,0.6317,0.6328,0.6061,0.6059,0.6557,0.6557,0.6556,0.6544,0.6570,0.6459,0.3769,0.3945
21,21,,JX477165,JX477165v1.JX477165v1,Reston09-A_2009,Reston 1989-90,18,0.6472,0.6472,0.6472,0.6457,0.6461,0.6440,0.6441,0.5836,0.5836,0.5836,0.5833,0.5809,0.5810,0.5842,0.5842,0.5845,0.5842,0.9331,0.9173,0.9173,0.8992,0.9255,0.9897,0.9897,1.0000,0.8640,0.8545,0.5846,0.5846,0.5846,0.5841,0.5841,0.5733,0.3471,0.3568
22,22,,JX477166,JX477166v1.JX477166v1,Alice_TX_USA_MkCQ8167_1996,Reston 1989-90,13,0.6479,0.6479,0.6479,0.6471,0.6470,0.6454,0.6458,0.5817,0.5817,0.5817,0.5819,0.5799,0.5799,0.5833,0.5833,0.5840,0.5829,0.9485,0.9314,0.9314,0.9145,0.9960,0.9315,0.9315,0.9290,0.8947,0.8622,0.5862,0.5862,0.5862,0.5857,0.5855,0.5764,0.3475,0.3576
23,23,,KC242783,KC242783v2.KC242783v2,Maleo_1979,Sudan 1976-9,23,0.6406,0.6406,0.6406,0.6358,0.6361,0.6357,0.6358,0.8651,0.8651,0.8651,0.8659,0.8486,0.8641,1.0000,1.0000,0.9604,0.9794,0.5784,0.5783,0.5783,0.5764,0.5779,0.5796,0.5796,0.5804,0.5596,0.5618,0.5762,0.5762,0.5762,0.5759,0.5779,0.5693,0.3449,0.3532
24,24,,KC242784,KC242784v1.KC242784v1,Luebo9_2007,DRC 2007,32,0.9714,0.9714,0.9714,0.9811,0.9998,0.9758,0.9784,0.6317,0.6317,0.6317,0.6296,0.6247,0.6269,0.6288,0.6288,0.6295,0.6294,0.6307,0.6301,0.6301,0.6301,0.6332,0.6330,0.6330,0.6343,0.6066,0.6077,0.6565,0.6565,0.6564,0.6555,0.6577,0.6455,0.3772,0.3956
25,25,,KC242785,KC242785v1.KC242785v1,Luebo0_2007,DRC 2007,32,0.9714,0.9714,0.9714,0.9811,0.9998,0.9758,0.9784,0.6316,0.6316,0.6316,0.6296,0.6247,0.6269,0.6289,0.6289,0.6295,0.6294,0.6307,0.6301,0.6301,0.6301,0.6332,0.6330,0.6330,0.6343,0.6066,0.6077,0.6564,0.6564,0.6563,0.6554,0.6576,0.6454,0.3771,0.3957
26,26,,KC242786,KC242786v1.KC242786v1,Luebo1_2007,DRC 2007,32,0.9716,0.9716,0.9716,0.9813,0.9999,0.9760,0.9786,0.6316,0.6316,0.6316,0.6295,0.6246,0.6268,0.6288,0.6288,0.6294,0.6293,0.6307,0.6302,0.6302,0.6302,0.6333,0.6331,0.6331,0.6344,0.6066,0.6077,0.6565,0.6565,0.6564,0.6555,0.6577,0.6455,0.3773,0.3957
27,27,,KC242787,KC242787v1.KC242787v1,Luebo23_2007,DRC 2007,32,0.9716,0.9715,0.9715,0.9812,0.9999,0.9760,0.9786,0.6316,0.6316,0.6316,0.6295,0.6246,0.6268,0.6287,0.6287,0.6294,0.6292,0.6308,0.6302,0.6302,0.6302,0.6333,0.6332,0.6332,0.6344,0.6067,0.6078,0.6565,0.6565,0.6564,0.6555,0.6577,0.6455,0.3773,0.3958
28,28,,KC242788,KC242788v1.KC242788v1,Luebo43_2007,DRC 2007,32,0.9711,0.9711,0.9711,0.9808,0.9995,0.9757,0.9782,0.6313,0.6313,0.6313,0.6292,0.6243,0.6265,0.6285,0.6285,0.6291,0.6289,0.6307,0.6299,0.6299,0.6299,0.6332,0.6330,0.6330,0.6343,0.6064,0.6077,0.6564,0.6564,0.6563,0.6556,0.6578,0.6455,0.3772,0.3957
29,29,,KC242789,KC242789v1.KC242789v1,Luebo4_2007,DRC 2007,32,0.9715,0.9714,0.9714,0.9811,0.9998,0.9759,0.9785,0.6316,0.6316,0.6316,0.6295,0.6246,0.6268,0.6287,0.6287,0.6293,0.6292,0.6308,0.6303,0.6303,0.6303,0.6334,0.6332,0.6332,0.6345,0.6067,0.6078,0.6564,0.6564,0.6563,0.6554,0.6576,0.6456,0.3772,0.3958
30,30,,KC242790,KC242790v1.KC242790v1,Luebo5_2007,DRC 2007,32,0.9714,0.9713,0.9713,0.9810,0.9997,0.9758,0.9784,0.6314,0.6314,0.6314,0.6294,0.6244,0.6267,0.6289,0.6289,0.6294,0.6293,0.6307,0.6301,0.6301,0.6301,0.6332,0.6330,0.6330,0.6343,0.6066,0.6078,0.6564,0.6564,0.6563,0.6554,0.6576,0.6455,0.3773,0.3957
31,31,,KC242791,KC242791v1.KC242791v1,Bonduni_1977,Zaire(DRC) 1976-7,31,0.9705,0.9704,0.9704,0.9999,0.9812,0.9858,0.9782,0.6312,0.6312,0.6312,0.6292,0.6243,0.6269,0.6285,0.6285,0.6293,0.6295,0.6309,0.6304,0.6304,0.6305,0.6333,0.6329,0.6329,0.6341,0.6062,0.6069,0.6558,0.6558,0.6557,0.6544,0.6569,0.6455,0.3770,0.3948
32,32,,KC242792,KC242792v1.KC242792v1,Gabon_1994,DRC 2007,33,0.9662,0.9662,0.9662,0.9861,0.9763,0.9981,0.9735,0.6306,0.6306,0.6306,0.6289,0.6240,0.6265,0.6282,0.6282,0.6288,0.6287,0.6297,0.6291,0.6291,0.6286,0.6319,0.6314,0.6314,0.6324,0.6051,0.6056,0.6553,0.6553,0.6552,0.6536,0.6558,0.6447,0.3757,0.3939
33,33,,KC242793,KC242793v1.KC242793v1,1Eko_1996,DRC 2007,33,0.9660,0.9660,0.9660,0.9859,0.9760,1.0000,0.9732,0.6307,0.6307,0.6307,0.6289,0.6242,0.6266,0.6284,0.6284,0.6290,0.6288,0.6297,0.6291,0.6291,0.6287,0.6317,0.6313,0.6313,0.6324,0.6052,0.6055,0.6554,0.6554,0.6553,0.6537,0.6558,0.6446,0.3755,0.3938
34,34,,KC242794,KC242794v1.KC242794v1,2Nza_1996,DRC 2007,33,0.9656,0.9656,0.9656,0.9854,0.9755,0.9960,0.9728,0.6301,0.6301,0.6301,0.6283,0.6234,0.6260,0.6281,0.6281,0.6288,0.6286,0.6293,0.6287,0.6287,0.6281,0.6315,0.6309,0.6309,0.6320,0.6046,0.6053,0.6550,0.6550,0.6549,0.6534,0.6557,0.6445,0.3757,0.3937
35,35,,KC242795,KC242795v1.KC242795v1,1Mbie_Gabon_1996,DRC 2007,33,0.9660,0.9660,0.9660,0.9859,0.9760,1.0000,0.9732,0.6307,0.6307,0.6307,0.6289,0.6242,0.6266,0.6284,0.6284,0.6290,0.6288,0.6297,0.6291,0.6291,0.6287,0.6317,0.6313,0.6313,0.6324,0.6052,0.6055,0.6554,0.6554,0.6553,0.6537,0.6558,0.6446,0.3755,0.3938
36,36,,KC242796,KC242796v1.KC242796v1,13625Kikwit_1995,DRC 2007,33,0.9687,0.9686,0.9686,0.9883,0.9787,0.9902,0.9757,0.6313,0.6313,0.6313,0.6295,0.6248,0.6271,0.6286,0.6286,0.6294,0.6292,0.6303,0.6298,0.6298,0.6295,0.6326,0.6322,0.6322,0.6333,0.6056,0.6061,0.6562,0.6562,0.6561,0.6549,0.6574,0.6463,0.3767,0.3942
37,37,,KC242797,KC242797v1.KC242797v1,1Oba_Gabon_1996,DRC 2007,33,0.9660,0.9660,0.9660,0.9859,0.9760,1.0000,0.9732,0.6307,0.6307,0.6307,0.6289,0.6242,0.6266,0.6284,0.6284,0.6290,0.6288,0.6297,0.6291,0.6291,0.6287,0.6317,0.6313,0.6313,0.6324,0.6052,0.6055,0.6554,0.6554,0.6553,0.6537,0.6558,0.6446,0.3755,0.3938
38,38,,KC242798,KC242798v1.KC242798v1,1Ikot_Gabon_1996,DRC 2007,33,0.9656,0.9656,0.9656,0.9854,0.9755,0.9960,0.9728,0.6301,0.6301,0.6301,0.6283,0.6234,0.6260,0.6281,0.6281,0.6288,0.6286,0.6293,0.6287,0.6287,0.6281,0.6315,0.6309,0.6309,0.6320,0.6046,0.6053,0.6550,0.6550,0.6549,0.6534,0.6557,0.6445,0.3757,0.3937
39,39,,KC242799,KC242799v1.KC242799v1,13709Kikwit_1995,DRC 2007,33,0.9687,0.9687,0.9687,0.9884,0.9787,0.9902,0.9758,0.6313,0.6313,0.6313,0.6295,0.6248,0.6272,0.6286,0.6286,0.6294,0.6293,0.6303,0.6297,0.6297,0.6295,0.6326,0.6322,0.6322,0.6333,0.6056,0.6061,0.6562,0.6562,0.6561,0.6550,0.6575,0.6463,0.3767,0.3942
40,40,,KC242800,KC242800v1.KC242800v1,Ilembe_2002,DRC 2007,34,0.9683,0.9683,0.9683,0.9783,0.9786,0.9732,1.0000,0.6300,0.6300,0.6300,0.6283,0.6237,0.6258,0.6285,0.6285,0.6289,0.6294,0.6294,0.6288,0.6288,0.6288,0.6322,0.6315,0.6315,0.6325,0.6048,0.6061,0.6544,0.6544,0.6543,0.6534,0.6559,0.6458,0.3771,0.3950
41,41,,KC242801,KC242801v1.KC242801v1,deRoover_1976,Zaire(DRC) 1976-7,31,0.9705,0.9704,0.9704,0.9999,0.9812,0.9858,0.9782,0.6311,0.6311,0.6311,0.6291,0.6242,0.6268,0.6284,0.6284,0.6292,0.6294,0.6308,0.6303,0.6303,0.6304,0.6332,0.6328,0.6328,0.6340,0.6061,0.6068,0.6557,0.6557,0.6556,0.6543,0.6567,0.6454,0.3770,0.3948
42,42,,KC545389,KC545389v1.KC545389v1,EboSud-602_2012,Sudan 1976-9,26,0.6457,0.6457,0.6457,0.6415,0.6420,0.6411,0.6403,1.0000,1.0000,1.0000,0.9695,0.9463,0.9716,0.8692,0.8692,0.8853,0.8700,0.5796,0.5796,0.5796,0.5784,0.5788,0.5817,0.5817,0.5825,0.5627,0.5641,0.5793,0.5793,0.5793,0.5788,0.5812,0.5690,0.3459,0.3566
43,43,,KC545390,KC545390v1.KC545390v1,EboSud-603_2012,Sudan 1976-9,26,0.6457,0.6458,0.6458,0.6416,0.6419,0.6411,0.6404,0.9999,0.9999,0.9999,0.9695,0.9462,0.9715,0.8691,0.8691,0.8853,0.8700,0.5795,0.5796,0.5796,0.5784,0.5788,0.5817,0.5817,0.5825,0.5627,0.5641,0.5792,0.5792,0.5792,0.5788,0.5811,0.5691,0.3460,0.3567
44,44,,KC545391,KC545391v1.KC545391v1,EboSud-609_2012,Sudan 1976-9,26,0.6457,0.6457,0.6457,0.6415,0.6420,0.6411,0.6403,0.9999,0.9999,0.9999,0.9694,0.9462,0.9715,0.8691,0.8691,0.8852,0.8699,0.5796,0.5796,0.5796,0.5784,0.5788,0.5817,0.5817,0.5825,0.5627,0.5642,0.5794,0.5794,0.5794,0.5789,0.5812,0.5691,0.3460,0.3566
45,45,,KC545392,KC545392v1.KC545392v1,EboSud-682_2012,Sudan 1976-9,26,0.6457,0.6457,0.6457,0.6415,0.6420,0.6411,0.6403,0.9999,0.9999,0.9999,0.9694,0.9462,0.9715,0.8691,0.8691,0.8852,0.8699,0.5796,0.5796,0.5796,0.5784,0.5788,0.5817,0.5817,0.5825,0.5627,0.5641,0.5792,0.5792,0.5792,0.5788,0.5811,0.5690,0.3460,0.3566
46,46,,KC545393,KC545393v1.KC545393v1,EboBund-112_2012,Bundibugyo 2007,10,0.6749,0.6749,0.6749,0.6726,0.6734,0.6722,0.6712,0.5847,0.5847,0.5847,0.5836,0.5827,0.5811,0.5843,0.5843,0.5849,0.5849,0.5878,0.5877,0.5877,0.5890,0.5882,0.5887,0.5887,0.5889,0.5695,0.5710,0.9999,0.9999,1.0000,0.9867,0.9377,0.6531,0.3534,0.3666
47,47,,KC545394,KC545394v1.KC545394v1,EboBund-120_2012,Bundibugyo 2007,10,0.6751,0.6751,0.6751,0.6726,0.6735,0.6722,0.6714,0.5845,0.5845,0.5845,0.5833,0.5823,0.5807,0.5843,0.5843,0.5849,0.5849,0.5878,0.5877,0.5877,0.5888,0.5880,0.5887,0.5887,0.5888,0.5695,0.5709,0.9934,0.9934,0.9933,0.9802,0.9408,0.6534,0.3532,0.3661
48,48,,KC545395,KC545395v1.KC545395v1,EboBund-122_2012,Bundibugyo 2007,11,0.6738,0.6738,0.6738,0.6711,0.6723,0.6704,0.6700,0.5840,0.5840,0.5840,0.5832,0.5829,0.5808,0.5838,0.5838,0.5842,0.5842,0.5876,0.5871,0.5871,0.5886,0.5877,0.5881,0.5881,0.5882,0.5690,0.5702,0.9865,0.9865,0.9864,1.0000,0.9499,0.6529,0.3534,0.3665
49,49,,KC545396,KC545396v1.KC545396v1,EboBund-14_2012,Bundibugyo 2007,10,0.6748,0.6748,0.6748,0.6725,0.6733,0.6721,0.6711,0.5846,0.5846,0.5846,0.5835,0.5827,0.5810,0.5841,0.5841,0.5847,0.5847,0.5876,0.5875,0.5875,0.5888,0.5880,0.5885,0.5885,0.5886,0.5692,0.5708,0.9997,0.9997,0.9996,0.9865,0.9379,0.6530,0.3535,0.3666
50,50,,KC589025,KC589025v1.KC589025v1,EboSud-639_2012,Sudan 1976-9,28,0.6447,0.6447,0.6447,0.6408,0.6412,0.6407,0.6402,0.9556,0.9556,0.9556,0.9599,1.0000,0.9608,0.8610,0.8610,0.8741,0.8630,0.5833,0.5836,0.5836,0.5825,0.5826,0.5852,0.5852,0.5855,0.5659,0.5687,0.5831,0.5831,0.5831,0.5834,0.5844,0.5732,0.3485,0.3590
51,51,,KJ660346,KJ660346v2.KJ660346v2,Guinea_Kissidougou-C15_2014,Ebola 2014,30,0.9997,0.9996,0.9996,0.9708,0.9719,0.9663,0.9686,0.6353,0.6353,0.6353,0.6332,0.6281,0.6303,0.6332,0.6332,0.6336,0.6336,0.6318,0.6312,0.6312,0.6311,0.6343,0.6345,0.6345,0.6356,0.6072,0.6088,0.6582,0.6582,0.6581,0.6573,0.6595,0.6473,0.3775,0.3972
52,52,,KJ660347,KJ660347v2.KJ660347v2,Guinea_Gueckedou-C07_2014,Ebola 2014,30,0.9995,0.9995,0.9995,0.9709,0.9719,0.9663,0.9687,0.6353,0.6353,0.6353,0.6332,0.6282,0.6303,0.6333,0.6333,0.6337,0.6337,0.6319,0.6312,0.6312,0.6312,0.6343,0.6345,0.6345,0.6356,0.6072,0.6089,0.6582,0.6582,0.6581,0.6572,0.6595,0.6474,0.3776,0.3972
53,53,,KJ660348,KJ660348v2.KJ660348v2,Guinea_Gueckedou-C05_2014,Ebola 2014,30,0.9994,0.9994,0.9994,0.9708,0.9718,0.9662,0.9686,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6331,0.6331,0.6335,0.6335,0.6320,0.6312,0.6312,0.6312,0.6343,0.6346,0.6346,0.6358,0.6073,0.6089,0.6581,0.6581,0.6580,0.6572,0.6594,0.6472,0.3776,0.3972
54,54,,KM034549,KM034549v1.KM034549v1,EM095B_2014,Ebola 2014,30,0.9998,0.9997,0.9997,0.9706,0.9717,0.9660,0.9684,0.6346,0.6346,0.6346,0.6325,0.6271,0.6295,0.6324,0.6324,0.6329,0.6329,0.6312,0.6305,0.6305,0.6305,0.6338,0.6342,0.6342,0.6353,0.6110,0.6108,0.6579,0.6579,0.6578,0.6569,0.6592,0.6473,0.3806,0.4005
55,55,,KM034550,KM034550v1.KM034550v1,EM095_2014,Ebola 2014,30,0.9998,0.9997,0.9997,0.9707,0.9718,0.9661,0.9684,0.6350,0.6350,0.6350,0.6330,0.6277,0.6300,0.6328,0.6328,0.6333,0.6333,0.6315,0.6308,0.6308,0.6308,0.6341,0.6342,0.6342,0.6352,0.6086,0.6084,0.6578,0.6578,0.6577,0.6569,0.6592,0.6471,0.3789,0.3986
56,56,,KM034551,KM034551v1.KM034551v1,EM096_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9705,0.9715,0.9659,0.9682,0.6347,0.6347,0.6347,0.6326,0.6275,0.6297,0.6326,0.6326,0.6330,0.6330,0.6312,0.6306,0.6306,0.6307,0.6339,0.6339,0.6339,0.6350,0.6080,0.6083,0.6576,0.6576,0.6575,0.6566,0.6588,0.6467,0.3782,0.3979
57,57,,KM034552,KM034552v1.KM034552v1,EM098_2014,Ebola 2014,30,1.0000,0.9999,0.9999,0.9703,0.9713,0.9657,0.9680,0.6338,0.6338,0.6338,0.6318,0.6266,0.6289,0.6317,0.6317,0.6321,0.6322,0.6303,0.6297,0.6297,0.6296,0.6330,0.6333,0.6333,0.6343,0.6096,0.6096,0.6573,0.6573,0.6571,0.6563,0.6586,0.6461,0.3813,0.4012
58,58,,KM034553,KM034553v1.KM034553v1,G3670v1_2014,Ebola 2014,30,0.9999,0.9998,0.9998,0.9704,0.9714,0.9658,0.9681,0.6348,0.6348,0.6348,0.6327,0.6276,0.6298,0.6326,0.6326,0.6331,0.6332,0.6312,0.6306,0.6306,0.6305,0.6339,0.6339,0.6339,0.6350,0.6081,0.6083,0.6575,0.6575,0.6574,0.6566,0.6588,0.6467,0.3781,0.3978
59,59,,KM034554,KM034554v1.KM034554v1,G3676v1_2014,Ebola 2014,30,0.9998,0.9997,0.9997,0.9707,0.9718,0.9662,0.9685,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6330,0.6330,0.6335,0.6335,0.6316,0.6310,0.6310,0.6309,0.6341,0.6343,0.6343,0.6354,0.6075,0.6087,0.6580,0.6580,0.6579,0.6570,0.6593,0.6471,0.3777,0.3974
60,60,,KM034555,KM034555v1.KM034555v1,G3676v2_2014,Ebola 2014,30,0.9998,0.9997,0.9997,0.9707,0.9718,0.9662,0.9685,0.6351,0.6351,0.6351,0.6330,0.6279,0.6301,0.6331,0.6331,0.6335,0.6335,0.6316,0.6310,0.6310,0.6310,0.6341,0.6343,0.6343,0.6354,0.6074,0.6086,0.6580,0.6580,0.6579,0.6570,0.6593,0.6472,0.3777,0.3974
