,ID,Genbank ID,Assembly ID,Mafname,Name,Group,Leaf assignment,C_192,C_193,C_191,C_189,C_187,C_185,C_181,C_176,C_177,C_172,C_173,C_166,C_167,C_162,C_163,C_159,C_154,C_155,C_148,C_149,C_142,C_143,C_136,C_137,C_130,C_131,C_123,C_124,C_116,C_117,C_110,C_111,C_104,C_105,C_96,C_97,C_90,C_91,C_87,C_82,C_83,C_76,C_77,C_67,C_68,C_61,C_62,C_55,C_56,C_49,C_50,C_43,C_44,C_39,C_40,C_30,C_31,C_27,C_13,C_14,C_15,C_3
10,10,,EU338380v1,EU338380v1.EU338380v1,Yambio_2004,Sudan 1976-9,16,0.1990,0.1240,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1930,0.1990,0.1930,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1460,0.1870,0.2670,0.2890,0.2830,0.1930
11,11,,FJ217161v1,FJ217161v1.FJ217161v1,Bundibugyo_Uganda_2007,Bundibugyo 2007,29,0.2120,0.1260,0.2110,0.2110,0.2110,0.2120,0.2120,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2110,0.2110,0.2120,0.1960,0.2120,0.1970,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2120,0.2110,0.2110,0.2110,0.2120,0.1490,0.2110,0.1930,0.1940,0.1940,0.1960
12,12,,FJ217162v1,FJ217162v1.FJ217162v1,Cote_dIvoire_CIEBOV_1994,Bundibugyo 2007,27,0.2160,0.1320,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2010,0.2160,0.2030,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.2160,0.1540,0.2820,0.1990,0.2010,0.2000,0.2020
13,13,,FJ621583v1,FJ621583v1.FJ621583v1,Reston08-A_2008,Reston 1989-90,10,0.2020,0.1280,0.2030,0.2030,0.2020,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2020,0.2020,0.2030,0.2020,0.2780,0.2020,0.2810,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2030,0.2020,0.2030,0.2020,0.2020,0.2020,0.2030,0.2020,0.2030,0.2030,0.2030,0.2030,0.1490,0.1910,0.1940,0.1960,0.1960,0.2870
14,14,,FJ621584v1,FJ621584v1.FJ621584v1,Reston08-C_2008,Reston 1989-90,131,0.2120,0.1320,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.3070,0.2120,0.2900,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.2120,0.1550,0.2000,0.2020,0.2050,0.2040,0.2960
15,15,,FJ621585v1,FJ621585v1.FJ621585v1,Reston08-E_2008,Reston 1989-90,124,0.2120,0.1340,0.2130,0.2130,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2900,0.2120,0.3070,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2120,0.2130,0.2130,0.2130,0.2130,0.1560,0.2010,0.2020,0.2050,0.2050,0.2960
16,16,,FJ968794v1,FJ968794v1.FJ968794v1,Boniface_1976,Sudan 1976-9,15,0.1990,0.1240,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1980,0.1990,0.1990,0.1990,0.1990,0.1990,0.1930,0.1990,0.1930,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1460,0.1870,0.2690,0.2830,0.2890,0.1930
17,17,,HQ613402v1,HQ613402v1.HQ613402v1,034-KS_2008,DRC 2007,34,0.2830,0.1320,0.2900,0.2900,0.2840,0.2830,0.2830,0.2830,0.2850,0.2830,0.2850,0.2830,0.2850,0.2830,0.2850,0.2830,0.2830,0.2830,0.2830,0.2840,0.2830,0.2830,0.2830,0.2850,0.2830,0.2000,0.2830,0.2010,0.2830,0.2890,0.2830,0.2850,0.2830,0.2900,0.2830,0.2850,0.2830,0.2830,0.2830,0.2830,0.2830,0.2830,0.2850,0.2830,0.2850,0.2830,0.2850,0.2830,0.2830,0.2830,0.2850,0.2830,0.2900,0.2900,0.2850,0.2830,0.1550,0.1990,0.1980,0.1990,0.1980,0.2000
18,18,,HQ613403v1,HQ613403v1.HQ613403v1,M-M_2007,DRC 2007,35,0.2820,0.1320,0.2890,0.2890,0.2830,0.2820,0.2820,0.2820,0.2850,0.2820,0.2840,0.2820,0.2840,0.2820,0.2850,0.2820,0.2820,0.2830,0.2820,0.2840,0.2820,0.2830,0.2820,0.2850,0.2820,0.2000,0.2820,0.2000,0.2820,0.2890,0.2820,0.2850,0.2820,0.2890,0.2820,0.2840,0.2820,0.2830,0.2820,0.2820,0.2830,0.2820,0.2840,0.2820,0.2840,0.2820,0.2850,0.2820,0.2830,0.2820,0.2850,0.2820,0.2890,0.2890,0.2850,0.2830,0.1550,0.1990,0.1980,0.1980,0.1980,0.2000
19,19,,JN638998v1,JN638998v1.JN638998v1,Nakisamata_2011,Sudan 1976-9,21,0.2010,0.1250,0.2010,0.2010,0.2000,0.2010,0.2010,0.2010,0.2010,0.2010,0.2000,0.2010,0.2000,0.2010,0.2010,0.2010,0.2010,0.2000,0.2010,0.2010,0.2010,0.2000,0.2010,0.2010,0.2010,0.1940,0.2010,0.1930,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2000,0.2010,0.2000,0.2010,0.2010,0.2000,0.2010,0.2000,0.2010,0.2010,0.2010,0.2010,0.2010,0.2000,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.2010,0.1470,0.1880,0.2840,0.2710,0.2730,0.1940
20,20,,JQ352763v1,JQ352763v1.JQ352763v1,Kikwit_1995,DRC 2007,173,0.2800,0.1300,0.2820,0.2820,0.2850,0.2800,0.2800,0.2800,0.2850,0.2800,0.2870,0.2800,0.2870,0.2800,0.2850,0.2800,0.2800,0.2850,0.2800,0.2810,0.2800,0.2850,0.2800,0.2850,0.2800,0.1980,0.2800,0.1990,0.2800,0.2820,0.2800,0.2850,0.2800,0.2820,0.2800,0.2870,0.2800,0.2850,0.2800,0.2800,0.2850,0.2800,0.2870,0.2800,0.2850,0.2800,0.2850,0.2800,0.2850,0.2800,0.2850,0.2800,0.2820,0.2820,0.2850,0.2800,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
21,21,,JX477165v1,JX477165v1.JX477165v1,Reston09-A_2009,Reston 1989-90,5,0.2020,0.1270,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2770,0.2020,0.2800,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.1490,0.1910,0.1930,0.1960,0.1950,0.2850
22,22,,JX477166v1,JX477166v1.JX477166v1,Alice_TX_USA_MkCQ8167_1996,Reston 1989-90,7,0.2020,0.1270,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2030,0.2020,0.2020,0.2020,0.2020,0.2020,0.2800,0.2020,0.2840,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.2020,0.1480,0.1910,0.1920,0.1950,0.1950,0.2880
23,23,,KC242783v2,KC242783v2.KC242783v2,Maleo_1979,Sudan 1976-9,17,0.1990,0.1240,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1930,0.1990,0.1930,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1990,0.1460,0.1870,0.2660,0.2880,0.2830,0.1930
24,24,,KC242784v1,KC242784v1.KC242784v1,Luebo9_2007,DRC 2007,105,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
25,25,,KC242785v1,KC242785v1.KC242785v1,Luebo0_2007,DRC 2007,117,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
26,26,,KC242786v1,KC242786v1.KC242786v1,Luebo1_2007,DRC 2007,39,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1970,0.1960,0.1970,0.1960,0.1980
27,27,,KC242787v1,KC242787v1.KC242787v1,Luebo23_2007,DRC 2007,39,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
28,28,,KC242788v1,KC242788v1.KC242788v1,Luebo43_2007,DRC 2007,191,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
29,29,,KC242789v1,KC242789v1.KC242789v1,Luebo4_2007,DRC 2007,44,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1970,0.1960,0.1970,0.1960,0.1980
30,30,,KC242790v1,KC242790v1.KC242790v1,Luebo5_2007,DRC 2007,189,0.2800,0.1310,0.2870,0.2870,0.2810,0.2800,0.2800,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.1980,0.2800,0.1990,0.2800,0.2870,0.2800,0.2820,0.2800,0.2870,0.2800,0.2820,0.2800,0.2810,0.2800,0.2800,0.2810,0.2800,0.2820,0.2800,0.2820,0.2800,0.2820,0.2800,0.2810,0.2800,0.2820,0.2800,0.2870,0.2870,0.2820,0.2800,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
31,31,,KC242791v1,KC242791v1.KC242791v1,Bonduni_1977,Zaire(DRC) 1976-7,163,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2870,0.2790,0.2850,0.2790,0.2850,0.2790,0.2870,0.2790,0.2790,0.2830,0.2790,0.2810,0.2790,0.2830,0.2790,0.2870,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2870,0.2790,0.2820,0.2790,0.2850,0.2790,0.2830,0.2790,0.2790,0.2830,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2830,0.2790,0.2870,0.2790,0.2820,0.2820,0.2870,0.2800,0.1530,0.1980,0.1960,0.1970,0.1960,0.1980
32,32,,KC242792v1,KC242792v1.KC242792v1,Gabon_1994,DRC 2007,187,0.2780,0.1300,0.2810,0.2810,0.2870,0.2780,0.2780,0.2780,0.2840,0.2780,0.2850,0.2780,0.2840,0.2780,0.2840,0.2780,0.2780,0.2860,0.2780,0.2800,0.2780,0.2860,0.2780,0.2840,0.2780,0.1970,0.2780,0.1990,0.2780,0.2810,0.2780,0.2840,0.2780,0.2810,0.2780,0.2850,0.2780,0.2860,0.2780,0.2780,0.2860,0.2780,0.2840,0.2780,0.2830,0.2780,0.2840,0.2780,0.2860,0.2780,0.2840,0.2780,0.2810,0.2810,0.2830,0.2780,0.1530,0.1970,0.1960,0.1970,0.1960,0.1980
33,33,,KC242793v1,KC242793v1.KC242793v1,1Eko_1996,DRC 2007,83,0.2780,0.1300,0.2810,0.2810,0.2860,0.2780,0.2780,0.2780,0.2830,0.2780,0.2840,0.2780,0.2840,0.2780,0.2830,0.2780,0.2780,0.2870,0.2780,0.2800,0.2780,0.2860,0.2780,0.2830,0.2780,0.1970,0.2780,0.1990,0.2780,0.2810,0.2780,0.2830,0.2780,0.2810,0.2780,0.2840,0.2780,0.2870,0.2780,0.2780,0.2870,0.2780,0.2840,0.2780,0.2830,0.2780,0.2830,0.2780,0.2860,0.2780,0.2830,0.2780,0.2810,0.2810,0.2830,0.2780,0.1530,0.1970,0.1960,0.1970,0.1960,0.1980
34,34,,KC242794v1,KC242794v1.KC242794v1,2Nza_1996,DRC 2007,56,0.2780,0.1300,0.2810,0.2810,0.2860,0.2780,0.2780,0.2780,0.2830,0.2780,0.2850,0.2780,0.2840,0.2780,0.2830,0.2780,0.2780,0.2860,0.2780,0.2800,0.2780,0.2870,0.2780,0.2830,0.2780,0.1970,0.2780,0.1980,0.2780,0.2810,0.2780,0.2830,0.2780,0.2810,0.2780,0.2850,0.2780,0.2860,0.2780,0.2780,0.2860,0.2780,0.2840,0.2780,0.2830,0.2780,0.2830,0.2780,0.2870,0.2780,0.2830,0.2780,0.2810,0.2810,0.2830,0.2780,0.1530,0.1970,0.1960,0.1970,0.1960,0.1980
35,35,,KC242795v1,KC242795v1.KC242795v1,1Mbie_Gabon_1996,DRC 2007,91,0.2780,0.1300,0.2810,0.2810,0.2860,0.2780,0.2780,0.2780,0.2830,0.2780,0.2840,0.2780,0.2840,0.2780,0.2830,0.2780,0.2780,0.2870,0.2780,0.2800,0.2780,0.2860,0.2780,0.2830,0.2780,0.1970,0.2780,0.1990,0.2780,0.2810,0.2780,0.2830,0.2780,0.2810,0.2780,0.2840,0.2780,0.2870,0.2780,0.2780,0.2870,0.2780,0.2840,0.2780,0.2830,0.2780,0.2830,0.2780,0.2860,0.2780,0.2830,0.2780,0.2810,0.2810,0.2830,0.2780,0.1530,0.1970,0.1960,0.1970,0.1960,0.1980
36,36,,KC242796v1,KC242796v1.KC242796v1,13625Kikwit_1995,DRC 2007,167,0.2790,0.1300,0.2820,0.2820,0.2840,0.2790,0.2790,0.2790,0.2850,0.2790,0.2870,0.2790,0.2870,0.2790,0.2850,0.2790,0.2790,0.2840,0.2790,0.2810,0.2790,0.2840,0.2790,0.2850,0.2790,0.1980,0.2790,0.1990,0.2790,0.2820,0.2790,0.2850,0.2790,0.2820,0.2790,0.2870,0.2790,0.2840,0.2790,0.2790,0.2840,0.2790,0.2870,0.2790,0.2840,0.2790,0.2850,0.2790,0.2840,0.2790,0.2850,0.2790,0.2820,0.2820,0.2840,0.2790,0.1540,0.1980,0.1960,0.1970,0.1960,0.1980
